time,low,high,open,close,volume,token,Pivot,R1,S1,R2,S2,Buy_Signal,Sell_Signal,Position
2024-04-21,146.8,153.59,151.28,148.82,567246.82127678,SOL,154.07333333333335,161.44666666666672,149.6466666666667,165.87333333333336,142.27333333333334,1,0,1
2024-04-20,139.7,152.48,142.54,151.33,715494.40864999,SOL,149.73666666666665,152.6733333333333,145.8833333333333,156.52666666666664,142.94666666666666,1,0,1
2024-04-19,128.47,147.63,142.14,142.56,2002415.83339281,SOL,147.83666666666667,155.97333333333336,143.19333333333336,160.61666666666667,135.05666666666667,1,0,1
2024-04-18,127.7,143.94,131.83,142.14,1153922.78563056,SOL,139.55333333333334,150.63666666666668,131.4766666666667,158.71333333333334,120.39333333333335,1,0,1
2024-04-17,126.68,142.77,136.28,131.84,1616654.90102712,SOL,137.92666666666665,148.1533333333333,131.9133333333333,154.16666666666663,121.68666666666665,1,0,1
2024-04-16,126.51,140.69,138.56,136.26,1559225.03327458,SOL,133.76333333333335,140.8466666666667,124.75666666666669,149.85333333333335,117.67333333333335,0,0,0
2024-04-15,133.7,156.27,151.42,138.56,1551585.60621083,SOL,134.48666666666665,142.4633333333333,128.2833333333333,148.66666666666663,120.30666666666666,0,1,-1
2024-04-14,130.0,152.95,138.59,151.44,2110116.52767288,SOL,142.84333333333333,151.98666666666668,129.41666666666666,165.41333333333336,120.27333333333331,0,1,-1
2024-04-13,121.88,154.99,153.22,138.55,3109359.05404368,SOL,144.79666666666665,159.5933333333333,136.64333333333332,167.74666666666664,121.84666666666666,1,0,1
2024-04-12,143.0,175.99,172.34,153.24,1500902.7276704,SOL,138.47333333333333,155.06666666666666,121.95666666666665,171.58333333333334,105.36333333333332,0,1,-1
2024-04-11,170.04,176.34,173.33,172.35,653648.74111884,SOL,157.41,171.82,138.82999999999998,190.4,124.41999999999999,0,1,-1
2024-04-10,162.27,175.52,172.27,173.34,1022106.34957454,SOL,172.91,175.78,169.48,179.21,166.60999999999999,1,0,1
2024-04-09,168.89,180.9,180.65,172.31,952573.65814674,SOL,170.37666666666667,178.48333333333332,165.23333333333332,183.62666666666667,157.12666666666667,0,1,-1
2024-04-08,175.27,184.63,179.52,180.66,924071.28862213,SOL,174.0333333333333,179.17666666666662,167.1666666666666,186.04333333333332,162.02333333333328,0,1,-1
2024-04-07,176.84,182.73,178.71,179.53,681047.65676867,SOL,180.18666666666664,185.10333333333327,175.74333333333328,189.54666666666662,170.82666666666665,0,0,0
2024-04-06,173.45,179.87,174.46,178.73,583429.67034848,SOL,179.70000000000002,182.56000000000003,176.67000000000004,185.59,173.81000000000003,1,0,1
2024-04-05,168.0,185.23,184.11,174.46,1195885.85501715,SOL,177.35,181.25,174.82999999999998,183.77,170.92999999999998,1,1,1
2024-04-04,180.27,190.22,185.12,184.15,883909.91116581,SOL,175.89666666666668,183.79333333333335,166.56333333333336,193.12666666666667,158.66666666666669,0,1,-1
2024-04-03,177.0,191.96,181.58,185.11,842258.56044078,SOL,184.88,189.48999999999998,179.54,194.82999999999998,174.93,1,1,1
2024-04-02,175.89,192.39,192.37,181.54,1539301.55340381,SOL,184.69000000000003,192.38000000000005,177.42000000000004,199.65000000000003,169.73000000000002,1,1,1
2024-04-01,186.91,204.25,202.41,192.35,1229843.89934343,SOL,183.2733333333333,190.65666666666664,174.15666666666664,199.7733333333333,166.7733333333333,0,1,-1
2024-03-31,193.76,203.15,194.28,202.38,857355.43315829,SOL,194.50333333333333,202.09666666666666,184.75666666666666,211.84333333333333,177.16333333333333,0,1,-1
2024-03-30,190.85,199.98,192.14,194.27,822342.88355242,SOL,199.76333333333332,205.76666666666665,196.37666666666664,209.15333333333334,190.3733333333333,1,0,1
2024-03-29,183.23,193.08,189.66,192.15,929561.35164297,SOL,195.03333333333333,199.21666666666667,190.08666666666667,204.16333333333333,185.90333333333334,1,0,1
2024-03-28,180.72,191.0,186.23,189.68,977206.39520309,SOL,189.48666666666668,195.74333333333337,185.89333333333335,199.3366666666667,179.63666666666666,1,0,1
2024-03-27,180.0,192.59,190.48,186.24,1348099.68250393,SOL,187.13333333333335,193.5466666666667,183.2666666666667,197.41333333333336,176.85333333333335,1,0,1
2024-03-26,184.56,198.03,189.04,190.48,1176961.35915771,SOL,186.27666666666667,192.55333333333334,179.96333333333334,198.86666666666667,173.68666666666667,0,1,-1
